TF,type,Promoter,TF Gene Name,Promoter Gene Name,NUE #,TF Family,T-DNA?
GATA5,PD,AT3G08590,GATA5,PGM2,NUE125,C2C2-GATA,
GBF2,PD,AT3G26810,GBF2,AFB2,AFB2,BZIP,x
GBF2,PD,AT1G12820,GBF2,AFB3,AFB3,BZIP,x
GBF2,PD,AT2G14210,GBF2,ANR1,NUE048,BZIP,x
GBF2,PD,AT1G69850,GBF2,NRT1.2,NUE002,BZIP,x
GBF2,PD,AT5G41410,GBF2,BEL1,NUE076,BZIP,x
GBF2,PD,AT4G24400,GBF2,CIPK8,NUE064,BZIP,x
GBF2,PD,AT4G01120,GBF2,GBF2,GBF2,BZIP,x
GBF2,PD,AT5G07440,GBF2,GDH2,NUE017,,x
GBF2,PD,AT1G66200,GBF2,GLN1;2,NUE014,BZIP,x
GBF2,PD,AT1G56010,GBF2,NAC1,NAC1,BZIP,x
GBF2,PD,AT2G15620,GBF2,NIR1,NUE012,BZIP,x
GBF2,PD,AT1G64530,GBF2,NLP6,NUE132,BZIP,x
GBF2,PD,AT5G57390,GBF2,PLT5,NUE117,BZIP,x
GBF2,PD,AT5G50200,GBF2,NRT3.1,NUE007,BZIP,x
LBD37,PD,AT2G38290,LBD37,AMT2,NUE009,,
NLP6,PD,AT5G65010,NLP6,ASN2,NUE019,NIN-LIKE,x
NLP6,PD,AT2G31955,NLP6,CNX2,NUE120,NIN-LIKE,x
NLP6,PD,AT5G13110,NLP6,G6PD2,NUE023,NIN-LIKE,x
NLP6,PD,AT2G15620,NLP6,NIR1,NUE012,NIN-LIKE,x
NLP7,PD,AT5G65010,NLP7,ASN2,NUE019,NIN-LIKE,
NLP7,PD,AT4G24400,NLP7,CIPK8,NUE064,NIN-LIKE,
NLP7,PD,AT2G31955,NLP7,CNX2,NUE120,NIN-LIKE,
NLP7,PD,AT5G13110,NLP7,G6PD2,NUE023,NIN-LIKE,
NLP7,PD,AT2G15620,NLP7,NIR1,NUE012,NIN-LIKE,
NLP7,PD,AT1G02860,NLP7,NLA,NUE060,NIN-LIKE,
TMO5/LHW,PD,AT1G08090,LHW/TMO5,NRT2.1,NUE004,LHW/TMO5,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
